Category,Reference,Value
Resistors,"R1",10k
Resistors,"R2",10k
Resistors,"R3",150
Resistors,"R4",150
Resistors,"R5",330
Resistors,"R6",330
Resistors,"R7",330
Resistors,"R8",330
Resistors,"R9",330
Resistors,"R10",330
Resistors,"R11",330
Resistors,"R12",330
Integrated Circuits,"U1",PCF8574
LED,"D0",JAUNE
LED,"D1",JAUNE
LED,"D2",JAUNE
LED,"D3",JAUNE
LED,"D4",JAUNE
LED,"D5",JAUNE
LED,"D6",JAUNE
LED,"D7",JAUNE
Miscellaneous,"J1",I2C_VOX
Miscellaneous,"J2",I2C_VOX
Miscellaneous,"JP1",JUMPER
Miscellaneous,"JP2",JUMPER
Miscellaneous,"JP3",JUMPER2
Miscellaneous,"JP4",JUMPER2
Miscellaneous,"JP5",JUMPER2
Miscellaneous,"PTSCL",PTEST
Miscellaneous,"PTSDA",PTEST
